,Comments,Ratings
0,"
                                Housing loan documentation was very easy with HDFC Limited, within 7 to 8 days they sanctioned the loan amount. I have availed the loan of Rs. 23 lakhs for the duration of 25 years and the interest was fixed but its nominal as compared to others.","



 0.5
5.0/5 ""Blown Away!""
                            "
1,"
                                I have applied fro the housing loan with the HDFC LIMITED the rate of interest with them is nominal also they have approved the loan quick. The documentation process was simple and i got loan on time. I am using it from last 3 years and the duration is fro 15 years to repay the loan.","



 0.5
4.5/5 ""Excellent!""
                            "
2,"
                                I went to chose with them since their banking services are convenient, the process in getting the loan was quite comfortable. The loan amount was sufficient but the interest rate and charges where quite on the higher end. Their customer support team was good and was helpful.","



 0.5
5.0/5 ""Blown Away!""
                            "
3,"
                                I have taken my housing loan with Grah finance, it is branch of HDFC LIMITED only, and The loan amount which they have given me was sufficient,and the rate of interest they have charged me was nominal, and they have charged me processing fee that too was nominal,Their overall service is good.","



 0.5
5.0/5 ""Blown Away!""
                            "
4,"
                                I have been holding my housing loan with HDFC bank for long time,They have given me sufficient loan amount,like based on the requirement they have given me loan, and the rate of interest they have charged me was nominal,and the processing fee was nominal,Still this loan is running.","



 0.5
4.0/5 ""Great!""
                            "
5,"
                                I have been holding my home loan with HDFC LIMITED for long time.The loan amount which they have given me was sufficient,based on my requirement they have charged me annual fee, and the rate of interest they have charged me was nominal,Still this loan is running.","



 0.5
3.0/5 ""Satisfactory""
                            "
6,"
                                My home loan experience was good with HDFC LIMITED. The interest rate is quite affordable and there was no processing fee. The customer service is good and very supportive. The loan tenure is 15 years and have completed one year. I have chosen a residential property.","



 0.5
4.0/5 ""Great!""
                            "
7,"
                                I took a home loan in HDFC LTD because the interest rate is low and service is good. There was a processing fee which is near about 10K, have not compared with other banks. The loan process was simple and it takes one month. The loan duration is 20 years.","



 0.5
4.0/5 ""Great!""
                            "
8,"
                                The experience with this loan was not good where there has been many hassles which i had faced initially. Even after paying the dues on time it was not reflecting and because of that it had affected my credit score as well. It was a floating interest rate with this loan where if the interest rate is reducing i had to visit the branch to pay the fees and charges.","



 0.5
1.0/5 ""Really Bad""
                            "
9,"
                                It was good experience with HDFC LTD on home loan process. The interest rate was not satisfactory and there is a processing fee. The documentation process is bit lengthy. The loan duration is 15 years. I can do partial payment after one year. I have purchased a residential property.","



 0.5
4.0/5 ""Great!""
                            "
10,"
                                I have a Home loan with HDFC LTD. The interest rate is affordable. They are responding well to me and have no issues with the customer service. They have not charged a processing fee. I have purchased a residential property and the loan duration is 12 or 13 years.","



 0.5
4.0/5 ""Great!""
                            "
11,"
                                I have taken a home loan with HDFC LTD and my experience was good, the process was smooth and i received my loan amount on time. Rate of interest was nominal and it was floating rate. Customer service was good and tenure period for this loan is for 15 years.","



 0.5
4.0/5 ""Great!""
                            "
12,"
                                I have taken my housing loan with HDFC LIMITED recently.The loan amount which they have given me was sufficient,and the rate of interest they have charged me was bit high i felt compare to other bank,like they have charged 1% high,they have charged up to 9.95% ,but other bank charged 8.85% ,the processing fee was not charged,but they said that it is mandatory to take insurance,so they said 2 ,00,000 for an insurance.the loan amount was sufficient ,they have given me up to 22,00,000,but they should be transparency in information.","



 0.5
4.0/5 ""Great!""
                            "
13,"
                                I have recently applied for housing loan with HDFC LIMITED.The loan amount was not sufficient,like in installment they are giving me loan, the rate of interest they have charged me was nominal, but they should give proper information,as there was no proper information given to me regarding the loan amount like in installment they will give loan etc, the loan amount on time, even the processing fee they have charges me was nominal.","



 0.5
3.0/5 ""Satisfactory""
                            "
14,"
                                I have been recently applied for Housing loan with HDFC LIMITED, the loan amount was sufficient,they have given me loan based on my requirement, and the rate of interest they have charged me was nominal,even the processing fee they have been charging is less, the loan was on time.","



 0.5
5.0/5 ""Blown Away!""
                            "
15,"
                                My home loan was taken with HDFC BANK , tenure period is sufficient and they charge processing fee also and it is nominal in the market . Rate of interest is fine and it is also nominal  compare to others .Only the disappointing part is the loan got delay . I am happy with the loan amount and overall it is good. 

","



 0.5
4.0/5 ""Great!""
                            "
16,"
                                My current home loan is running with HDFC Limited, as per the RBI, they changing the interest, they are providing same benefits to the customer. The service is good, commission charges are nominal. They are very professional and its hassle free.","



 0.5
4.5/5 ""Excellent!""
                            "
17,"
                                My home loan experience was good with HDFC LTD, the loan amount was based on my requirement and the rate of interest was nominal when compared to others. Customer service was good and they responded on time; Tenure period for this loan is for 15 years.","



 0.5
5.0/5 ""Blown Away!""
                            "
18,"
                                The experience i had with this loan was quite good and the loan amount which they had provided was sufficient as well. But the interest rate with them was quite high when compared with the market rate and the charges has also been high. Their customer support has not been much responsive during the process.","



 0.5
3.0/5 ""Satisfactory""
                            "
19,"
                                Taken my home loan from HDFC because the banking service is convenient since I'm holding the salary account with them. They have given me a lower interest and its easy to make the payment for EMI. They have sanctioned the loan within 2 days. I have selected the tenure period of 120 months. I got the interest rate of 8% since I'm a privilege customer of HDFC.","



 0.5
4.0/5 ""Great!""
                            "
20,"
                                My home loan experience was good with HDFC LTD. The loan amount was based on my requirement and the rate of interest was nominal when compared to others. Customer service was good and they responded on time. Tenure period for this loan for 17 years.","



 0.5
5.0/5 ""Blown Away!""
                            "
21,"
                                I have taken the housing loan with the HDFC LIMITED, the documentation process was simple and i got the loan with thin 20 days after applying the loan added on that the loan amount is sufficient what they have given with this loan. The duration for repaying is for 6 years.","



 0.5
5.0/5 ""Blown Away!""
                            "
22,"
                                I have been using my home loan with HDFC LIMITED a year ago.They have given me sufficient loan amount ,and the rate of interest they have charged me was nominal ,rate of interest is not fixed, it float compare to the market rate ,they have charged me up to 8.5% which is less compare to other bank,They have charged me processing fee,it was nominal ,still this loan is running for 6 years.","



 0.5
5.0/5 ""Blown Away!""
                            "
23,"
                                HDFC LTD has also offered me a home loan and the customer services and response is good. There are no issues in the process. The interest rate and processing charges is nominal. The disbursement also happened on time. In all I had no issues to get the loan.","



 0.5
5.0/5 ""Blown Away!""
                            "
24,"
                                The loan processing was good with HDFC LIMITED. I have purchased a residential property. The interest rate was high when compared to SBI and there was  a processing fee but it got waived off.  The home loan tenure is 15 years. The documentation process was average and its not very fast.","



 0.5
5.0/5 ""Blown Away!""
                            "
25,"
                                I took one home loan from HDFC Limited then it switch over to Bank of Baroda,  because that branch is located near to my place and in HDFC Limited interest rate is bit higher than BOB, I took amount of 20 lakhs, service was good on the initial stage, post process was not good, there are no hidden charges on my loan.

","



 0.5
4.0/5 ""Great!""
                            "
