,Comments,Ratings
0,"
                                I am very happy with KOTAK MAHINDRA BANK   for the home loan. The rate of interest is 8.9% which is very nominal .  I got the loan without any delay or hassles. The processing fee is also good .The customer services and response is good. I also got the loan on time. 
","



 0.5
4.0/5 ""Great!""
                            "
1,"
                                It was quite a good experience i had with this Home loan and the loan amount which they had provided has been sufficient it is 40 lakhs . I have taken my loan with KOTAK MAHINDRA BANK . The tenure period is 20 years and rate of interest is nominal it is 8.9% . No hidden charges are there .
","



 0.5
5.0/5 ""Blown Away!""
                            "
2,"
                                I have give my documents for kotak mahindra bank credit card. I gave my document last time in the beggining of nov 2018. It is mor then 2 months and niw while checking my aoplication status on kotak bank online my application is still in proccess. Worst banking service ever i face.","



 0.5
0.5/5 ""Unacceptable""
                            "
3,"
                                I have taken Housing loan from the Kotak mahindra bank ,  They have given Fair rate of interest  based on the market price . They did instant approval process as fast as they can do . . There is no nominal processing fees as every bank  i used to charge which is minimal .Overall am satisfied with the financial service . ","



 0.5
5.0/5 ""Blown Away!""
                            "
4,"
                                The experience i had with this Home loan has not been good since the process has taken more time than usual. There has been some issues on the documentation and their customer support team response has been slow. The interest rate with the has been much higher compared with the market rate and the issues had been sorted out at last by the Managing Director after i writing a letter.","



 0.5
1.0/5 ""Really Bad""
                            "
5,"
                                I have my credit card approved with Kotak Mahindra bank and the experience was good, the process took 1 month to complete. They gave a credit limit of Rs 15000 which is less for this credit card. There is no annual fee charged for this credit card. I get cash back offers on this credit card and i use this card for general purpose. Customer service was good and they responded on time.","



 0.5
5.0/5 ""Blown Away!""
                            "
6,"
                                I have taken a home loan from Kotak Mahindra Bank, the loan amount was for Rs 18 lakhs with the rate of interest of 10% which is higher when compared to all other banks. It was overall a good loan experience with this bank. Customer service was good and they provided door step service to collect the documents. I received my loan amount within 10 days. The tenure of the loan is 15 years and i pay an EMI of Rs 20300 for this loan.","



 0.5
4.0/5 ""Great!""
                            "
7,"
                                The process for my Home Credit Loan was done instantly and it didn't require much process too. The rate of interest offered is pretty low too and the Bank was pretty responsive for the Loan. I had the complete outline about the Loan and it was easy for me to select the product.","



 0.5
4.5/5 ""Excellent!""
                            "
8,"
                                I have approached Kotak Mahindra for my home loan since the rate of itnerest is low when compared to the other bankers so I have chosen Kotak. They have collected my documents, within a 10 days they will update my loan status. I got a good credit score.
","



 0.5
4.0/5 ""Great!""
                            "
9,"
                                Kotak Mahindra service was very bad, Earlier I had taken home loan with  ING Vysya but after Kotak Mahindra took over that bank. Everything got changed  I had requested them to do foreclosure but they did not respond. Then I went to the main branch and  I got approval after two months of my request from Visakhapatnam branch. They asked me to do NEFT or RTGS. While I was doing the transaction it didn't accept to do huge amount. Finally I went to  the branch and closed the loan and I got NOC after a month's time.","



 0.5
1.0/5 ""Really Bad""
                            "
10,"
                                I got the housing loan with the Kotak mahindra bank and the interest rate was competitive one like it was around 8.65%. The loan amount got  disbursed to the developer within 45 days of time. Processing charges around nominal one with them.","



 0.5
3.0/5 ""Satisfactory""
                            "
11,"
                                KOTAK Housing loan is meant only for customer who's property value is very huge and big.  For example Office company and all major units they are willing to provide the loan. They are not providing housing loan not for a common man. I had approached them for the housing loan I did not get any sort of reply from them till date.
","



 0.5
1.0/5 ""Really Bad""
                            "
12,"
                                I have experienced a bad process of credit card application from Kotak bank. They do not have any coordination among the staff. I got call from 3-4 executives for documents inspire of submitting it after 1st call. Then after approx 2 week I get a call again that they need document again as they had misplaced the earlier set. This is such a negligence shown by the bank.  Secondly they offer me a card which is free for lifetime with credit limit of 200000. I got my card after a week of submitting document again.   
Now the limit I got was 50000 only and within a week without even using the card I get an invoice of 571 God knows for what. 
Wrong assurance just to sell your card will impact you very badly.","



 0.5
2.0/5 ""Expected more""
                            "
13,"
                                 I have taken a  home loan with kotak  which   was disbursed  within 15 days after completing all the verification and documentation process.  Interest  rate  charged was  above 10% and the processing fee  was also  normal.  The response was good which i liked very much","



 0.5
5.0/5 ""Blown Away!""
                            "
14,"
                                My home loan is from Kotak Mahindra bank. The services are good. They completed my loan process very quickly. I got the loan within seven days. The rate of interest very reasonable. It was of 9.1%. The processing charges was normal. Overall a excellent experience.","



 0.5
5.0/5 ""Blown Away!""
                            "
15,"
                                Kotak Mahindra bank was kept increasing the interest rate for the home loan and I done balance transfer. Except the rate the Kotak is very good in all the aspects. Customer service is awesome and the processing time is pretty fast. All the options are available on their portal so there is no reason to visit their office. Even their payment options are very good. ","



 0.5
5.0/5 ""Blown Away!""
                            "
16,"
                                The home loan process was too fast and there was no time lack. I was able to reach out them without any hurdle. Kotak Mahindra bank also guided and advised me regarding the property. Another foremost things is that there is no processing fee for me as due to my account. Interest rate 9.55% is little high.","



 0.5
4.0/5 ""Great!""
                            "
17,"
                                Kotak bank offered me an Home loan for 12lakhs. I was looking for 20 years tenure but they did not offered. Rate of interest was 11% . In terms of Home loan I am unhappy with them. Good thing is, they were good in terms of process. I closed it and I got my NOC letter on time. ","



 0.5
3.0/5 ""Satisfactory""
                            "
18,"
                                Without any payslips they approved the home loan. For NRI customers banks are offering up to 24% of rate but here in Kotak Mahindra bank they offered me like 9%. Kotak was happily processed the loan. For NRI customers Kotak will be best option for loans. ","



 0.5
5.0/5 ""Blown Away!""
                            "
19,"
                                I was looking for Home loan. I just inquired about the Home loan with Kotak bank. My salary account is with them so, they are ready to provide 10lakhs with 9.65% interest rate. They have processing charges and i would be better if they avoid the processing fees. 
","



 0.5
4.0/5 ""Great!""
                            "
20,"
                                Overall KOTAK housing loan  process was good. The executive came to my place and they took all the details and they have processed with the loan. They have offered the loan within  week time and everything was finalized. They have offered a floating rate of interest and there is rise and fall of rates. Every time when they change the rate they intimate us quickly. ","



 0.5
5.0/5 ""Blown Away!""
                            "
21,"
                                The customer service is very poor. I wanted to make part payment and I am following up for last one month but they didn't give proper response to emails and even customer care people also don't know anything. Very frustrated with the service and would recommend not to go for kotak mahindra/ing vysya","



 0.5
1.0/5 ""Really Bad""
                            "
22,"
                                Kotak housing loan is fine its much better than others as well.When I approached them for the housing loan they had advised me to wait  until the car loan is getting disbursed. Later they had asked me to apply for the housing loan. The executives who was involved in this was willing to provide complete information and he gave me the next steps as well.","



 0.5
3.0/5 ""Satisfactory""
                            "
23,"
                                When I was taking taking home loan with ING Vysya the rate is 11.5% and still it is in same condition however it is floating. For first three years I got it for fixed rate. One time payment on home loan that I paid is only thousand and out of 12lakhs. Actually in 2008 I availed home loan with ING Vysya and now it is acquired by Kotak Mahindra bank. ","



 0.5
4.0/5 ""Great!""
                            "
